2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54190 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [32.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54194 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [33.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54208 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [34.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54220 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [35.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54226 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [36.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54238 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [37.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54244 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [38.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54254 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [39.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54258 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [40.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54266 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [41.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54274 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [42.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54290 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [43.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54296 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54300 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [44.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54308 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:17 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 09:26:17 | INFO | stdout | INFO:     127.0.0.1:59906 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [0.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48082 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [1.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48086 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [2.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48090 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [3.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48102 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [4.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48116 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [5.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48118 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [6.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48134 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [7.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48142 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [8.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48146 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [9.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48152 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [10.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48164 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [11.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48170 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [12.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48184 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [13.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48200 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [14.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48210 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [15.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48224 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [16.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48232 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [17.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48248 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [18.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48260 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [19.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48270 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [20.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48280 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [21.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48284 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48286 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:26:41 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [22.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:41 | INFO | stdout | INFO:     127.0.0.1:48294 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:02 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 09:27:02 | INFO | stdout | INFO:     127.0.0.1:50220 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [0.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50230 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [1.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50232 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [2.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50246 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [3.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50256 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [4.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50268 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [5.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50282 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [6.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50290 - "POST /get_worker_address HTTP/1.1" 200 OK
